state_id,algorithm,score,fraction_used_connections,number_routes,total_minutes,is_solution,sleeper_string,start_state,mutation,runtime
0,hill_climber_light_valid_start,8830.0,1.0,7,470.0,True,8830.0	1.0	7	470.0	False;False;False	train_39:Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Gouda>Den Haag Centraal>Delft;train_41:Beverwijk>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel;train_47:Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda;train_48:Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Beverwijk>Castricum>Alkmaar;train_50:Dordrecht>Rotterdam Centraal;train_51:Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel;train_52:Castricum>Zaandam>Hoorn>Alkmaar>Den Helder,valid,light,0.054337263107299805
1,hill_climber_light_valid_start,8776.0,1.0,7,524.0,True,8776.0	1.0	7	524.0	False;False;False	train_107:Beverwijk>Castricum>Alkmaar>Hoorn>Zaandam>Castricum;train_108:Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Beverwijk>Zaandam;train_109:Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Gouda;train_111:Delft>Den Haag Centraal;train_112:Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Delft>Den Haag Centraal>Delft;train_115:Amsterdam Sloterdijk>Zaandam>Hoorn>Alkmaar>Den Helder;train_116:Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid,valid,light,0.05938911437988281
2,hill_climber_light_valid_start,8809.0,1.0,7,491.0,True,8809.0	1.0	7	491.0	False;False;False	train_221:Den Helder>Alkmaar;train_223:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem;train_224:Amsterdam Sloterdijk>Zaandam>Castricum>Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal;train_226:Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid;train_229:Castricum>Alkmaar>Hoorn>Zaandam>Beverwijk;train_230:Gouda>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_231:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal,valid,light,0.06769871711730957
3,hill_climber_light_valid_start,8840.0,1.0,7,460.0,True,8840.0	1.0	7	460.0	False;False;False	train_40:Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout;train_52:Heemstede-Aerdenhout>Leiden Centraal>Alphen a/d Rijn>Gouda>Den Haag Centraal>Leiden Centraal;train_53:Beverwijk>Zaandam>Amsterdam Sloterdijk>Haarlem>Beverwijk>Castricum>Zaandam;train_54:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_55:Castricum>Alkmaar>Den Helder;train_56:Alkmaar>Hoorn>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel;train_57:Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht,valid,light,0.05328559875488281
4,hill_climber_light_valid_start,8950.0,1.0,6,450.0,True,8950.0	1.0	6	450.0	False;False;False	train_1:Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Beverwijk>Castricum>Alkmaar;train_2:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Beverwijk>Castricum>Zaandam;train_3:Rotterdam Centraal>Rotterdam Alexander>Gouda;train_4:Zaandam>Hoorn>Alkmaar>Den Helder;train_5:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Schiphol Airport>Leiden Centraal;train_6:Leiden Centraal>Alphen a/d Rijn>Gouda>Den Haag Centraal>Delft>Den Haag Centraal,valid,light,0.04708456993103027
5,hill_climber_light_valid_start,8884.0,1.0,7,416.0,True,8884.0	1.0	7	416.0	False;False;False	train_39:Alkmaar>Hoorn>Zaandam;train_48:Rotterdam Centraal>Dordrecht;train_50:Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam>Castricum>Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Alphen a/d Rijn>Gouda;train_52:Castricum>Alkmaar>Den Helder;train_55:Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid;train_56:Beverwijk>Zaandam>Castricum>Beverwijk;train_57:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem,valid,light,0.05509018898010254
6,hill_climber_light_valid_start,8975.0,1.0,6,425.0,True,8975.0	1.0	6	425.0	False;False;False	train_1:Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Beverwijk>Castricum>Alkmaar;train_2:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Gouda>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal;train_3:Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid;train_4:Castricum>Zaandam>Hoorn>Alkmaar>Den Helder;train_5:Hoorn>Alkmaar;train_6:Rotterdam Centraal>Rotterdam Alexander>Gouda,valid,light,0.04600834846496582
7,hill_climber_light_valid_start,8893.0,1.0,7,407.0,True,8893.0	1.0	7	407.0	False;False;False	train_3:Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal;train_5:Amsterdam Sloterdijk>Haarlem>Beverwijk>Zaandam>Castricum>Alkmaar;train_9:Zaandam>Hoorn>Alkmaar>Den Helder;train_10:Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Beverwijk>Castricum;train_12:Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam;train_13:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal;train_14:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk,valid,light,0.04866528511047363
8,hill_climber_light_valid_start,8827.0,1.0,7,473.0,True,8827.0	1.0	7	473.0	False;False;False	train_9:Den Haag Centraal>Delft>Den Haag Centraal>Leiden Centraal;train_18:Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal;train_24:Delft>Den Haag Centraal;train_25:Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam>Beverwijk>Castricum>Zaandam>Hoorn;train_27:Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal;train_28:Castricum>Alkmaar>Den Helder>Alkmaar>Hoorn;train_29:Gouda>Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht,valid,light,0.04995369911193848
9,hill_climber_light_valid_start,8779.0,1.0,7,521.0,True,8779.0	1.0	7	521.0	False;False;False	train_12:Amsterdam Sloterdijk>Zaandam>Hoorn>Alkmaar>Castricum>Zaandam>Beverwijk;train_29:Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel;train_32:Delft>Den Haag Centraal>Delft>Den Haag Centraal>Delft>Den Haag Centraal>Delft>Den Haag Centraal>Leiden Centraal;train_33:Haarlem>Beverwijk>Castricum>Beverwijk;train_34:Den Helder>Alkmaar;train_35:Amsterdam Centraal>Amsterdam Sloterdijk>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal;train_36:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Gouda,valid,light,0.051041603088378906
