run_id,start_score,score,p,T,Min,initial_population,generation_count,population_size,max_runners,score_list,sleeper_string
0,8216.714285714286,8216.714285714286,0.9285714285714286,6,469.0,hill_climber,10,6,3,8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286~8216.714285714286,8216.714285714286	0.9285714285714286	6	469.0	False;False;False	train_1:Schiedam Centrum>Delft>Den Haag Centraal>Delft>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Leiden Centraal>Alphen a/d Rijn;train_2:Schiedam Centrum>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Rotterdam Alexander;train_3:Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Heemstede-Aerdenhout;train_4:Den Haag Centraal>Gouda>Alphen a/d Rijn>Gouda>Rotterdam Alexander;train_5:Zaandam>Beverwijk>Haarlem>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout;train_6:Amsterdam Sloterdijk>Zaandam>Hoorn>Alkmaar>Castricum>Zaandam
1,7960.571428571429,7960.571428571429,0.8928571428571429,6,368.0,hill_climber,10,6,7,7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429~7960.571428571429,7960.571428571429	0.8928571428571429	6	368.0	False;False;False	train_1:Den Helder>Alkmaar>Castricum>Zaandam>Castricum>Zaandam>Hoorn;train_2:Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal;train_3:Beverwijk>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Den Haag Centraal;train_4:Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal;train_5:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal;train_6:Gouda>Den Haag Centraal
2,8743.857142857143,9075.0,1.0,5,425.0,hill_climber,10,6,15,8743.857142857143~9069.0~9069.0~9075.0~9075.0~9075.0~9075.0~9075.0~9075.0~9075.0,9075.0	1.0	5	425.0	False;False;False	train_1:Gouda>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Beverwijk>Castricum>Zaandam>Beverwijk;train_2:Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander;train_3:Castricum>Alkmaar>Den Helder>Alkmaar>Hoorn;train_4:Hoorn>Zaandam>Amsterdam Sloterdijk>Amsterdam Zuid;train_5:Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal
3,5878.571428571429,6325.857142857143,0.7142857142857143,5,317.0,hill_climber,50,6,3,5878.571428571429~5878.571428571429~5878.571428571429~5878.571428571429~5878.571428571429~5890.571428571429~5890.571428571429~5890.571428571429~5890.571428571429~5890.571428571429~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5981.714285714286~5985.714285714286~5985.714285714286~5985.714285714286~5985.714285714286~5985.714285714286~5985.714285714286~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143~6325.857142857143,6325.857142857143	0.7142857142857143	5	317.0	False;False;False	train_1:Amsterdam Sloterdijk>Zaandam>Beverwijk>Haarlem>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Schiphol Airport>Amsterdam Zuid;train_2:Alphen a/d Rijn>Gouda>Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal>Dordrecht;train_3:Alkmaar>Castricum>Zaandam>Hoorn>Zaandam;train_4:Schiedam Centrum>Delft>Den Haag Centraal;train_5:Amsterdam Amstel>Amsterdam Centraal
4,8357.714285714286,8357.714285714286,0.9285714285714286,6,328.0,hill_climber,50,6,7,8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286~8357.714285714286,8357.714285714286	0.9285714285714286	6	328.0	False;False;False	train_1:Castricum>Zaandam>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout;train_2:Den Haag Centraal>Gouda>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Delft;train_3:Haarlem>Beverwijk>Zaandam>Hoorn>Alkmaar>Castricum>Beverwijk;train_4:Heemstede-Aerdenhout>Leiden Centraal>Schiphol Airport>Amsterdam Zuid;train_5:Gouda>Rotterdam Alexander;train_6:Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Delft
5,8313.714285714286,8496.857142857143,0.9642857142857143,7,446.0,hill_climber,50,6,15,8313.714285714286~8313.714285714286~8313.714285714286~8313.714285714286~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8491.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143~8496.857142857143,8496.857142857143	0.9642857142857143	7	446.0	False;False;False	train_1:Rotterdam Alexander>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal;train_2:Alphen a/d Rijn>Gouda>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem;train_3:Alphen a/d Rijn>Leiden Centraal>Schiphol Airport;train_4:Amsterdam Sloterdijk>Haarlem>Beverwijk>Castricum>Zaandam>Beverwijk;train_5:Alkmaar>Castricum>Zaandam>Amsterdam Sloterdijk>Zaandam>Amsterdam Sloterdijk>Amsterdam Zuid>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal;train_6:Castricum>Zaandam>Hoorn>Alkmaar>Den Helder;train_7:Amsterdam Sloterdijk>Amsterdam Centraal
6,8645.857142857143,8740.857142857143,0.9642857142857143,5,402.0,hill_climber,100,6,3,8645.857142857143~8645.857142857143~8645.857142857143~8645.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143~8740.857142857143,8740.857142857143	0.9642857142857143	5	402.0	False;False;False	train_1:Schiphol Airport>Leiden Centraal>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Rotterdam Centraal>Schiedam Centrum>Rotterdam Centraal>Dordrecht;train_2:Den Helder>Alkmaar>Castricum>Zaandam>Beverwijk>Castricum;train_4:Castricum>Beverwijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Schiphol Airport;train_5:Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum;train_6:Alkmaar>Hoorn>Zaandam>Amsterdam Sloterdijk
7,8291.714285714286,8603.857142857143,0.9642857142857143,6,439.0,hill_climber,100,6,7,8291.714285714286~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8587.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143~8603.857142857143,8603.857142857143	0.9642857142857143	6	439.0	False;False;False	train_1:Den Helder>Alkmaar>Hoorn;train_2:Gouda>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem;train_3:Heemstede-Aerdenhout>Haarlem>Beverwijk>Castricum>Alkmaar>Castricum>Zaandam>Hoorn>Zaandam;train_4:Heemstede-Aerdenhout>Leiden Centraal>Den Haag Centraal>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal;train_5:Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_6:Beverwijk>Zaandam>Amsterdam Sloterdijk
8,7842.571428571429,8183.714285714286,0.9285714285714286,7,402.0,hill_climber,100,6,15,7842.571428571429~7842.571428571429~7842.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7943.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~7981.571428571429~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286~8183.714285714286,8183.714285714286	0.9285714285714286	7	402.0	False;False;False	train_1:Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum;train_2:Amsterdam Sloterdijk>Zaandam>Beverwijk>Zaandam>Castricum>Alkmaar>Hoorn;train_3:Dordrecht>Rotterdam Centraal>Schiedam Centrum;train_4:Castricum>Beverwijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_5:Rotterdam Centraal>Schiedam Centrum>Delft;train_6:Gouda>Den Haag Centraal>Delft>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem;train_7:Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Alphen a/d Rijn
9,8574.857142857143,8574.857142857143,0.9642857142857143,7,368.0,hill_climber,10,12,3,8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143~8574.857142857143,8574.857142857143	0.9642857142857143	7	368.0	False;False;False	train_1:Leiden Centraal>Den Haag Centraal>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel;train_2:Alkmaar>Hoorn>Zaandam>Castricum>Alkmaar>Den Helder;train_3:Rotterdam Centraal>Schiedam Centrum;train_4:Schiedam Centrum>Delft>Den Haag Centraal;train_5:Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda;train_6:Haarlem>Beverwijk>Zaandam>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal;train_7:Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Amsterdam Zuid
